condition,n_seeds,uar_mean,uar_ci_lo,uar_ci_hi,wf1_mean,wf1_ci_lo,wf1_ci_hi,recall_angry_mean,recall_happy_mean,recall_neutral_mean,recall_sad_mean,recall_angry_ci_lo,recall_happy_ci_lo,recall_neutral_ci_lo,recall_sad_ci_lo,recall_angry_ci_hi,recall_happy_ci_hi,recall_neutral_ci_hi,recall_sad_ci_hi
Pun -> Pun  (within),3,0.9899016270556403,0.9804356699474762,0.9949174406604747,0.9937737169217193,0.9875613821240972,0.9979172367527371,1.0,0.977124183006536,0.9965174129353233,0.9859649122807017,1.0,0.9607843137254902,0.9925373134328358,0.968421052631579,1.0,0.9901960784313726,1.0,1.0
"Urdu -> Urdu (within, show-indep)",3,0.16865079365079363,0.0,0.46428571428571425,0.3950617283950617,0.0,0.9629629629629629,0.3511904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714285,0.0,0.0,0.0
Pun -> Urdu (cross-lingual),3,0.5277777777777778,0.20833333333333334,1.0,0.657644824311491,0.2037037037037037,1.0,0.5416666666666666,0.3333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.125,0.0
Urdu -> Pun (cross-lingual),3,0.24812521499828,0.24437564499484007,0.25,0.0198074660266124,0.017767986517986518,0.02130639873970804,0.3192982456140351,0.3398692810457516,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.9578947368421052,1.0,0.0,1.0
